sido_short,sigungu,registration,total_chargers,fast_chargers,slow_chargers,apt_charger_count,apt_charger_ratio,log_reg,expected_total,gap_pct_total,expected_fast,gap_pct_fast,expected_slow,gap_pct_slow,n_reported,ok_rate,broken_rate,busy_rate,n_kw_reported,avg_kw,log_pop,apt_ratio,old_housing_ratio,parking_ratio,subsidy_receipt_rate,budget_exec_rate,is_deficit
강원,평창군,564.0,518,102,416,133,0.25675675675675674,6.335054251498059,178.9298531884591,189.49892417025174,48.08569744359867,112.12128641710817,120.2183506534813,246.03702158506815,601.0,82.86189683860233,7.653910149750416,13.855421686746988,31.0,137.09677419354838,10.57172709738989,19.7,24.22387533078506,88.5,65.0,65.0,0.0
강원,홍천군,781.0,357,87,270,46,0.12885154061624648,6.660575149839686,253.63154108918224,40.755364442023875,57.99804027843547,50.00506841667871,178.58341879189632,51.189848322162334,620.0,87.25806451612902,2.5806451612903225,12.384473197781885,47.0,169.14893617021278,11.093143355967271,27.6,25.83281619773863,87.8,110.0,100.0,0.0
강원,화천군,305.0,83,20,63,9,0.10843373493975904,5.720311776607412,92.58447496436284,-10.352140537657151,33.75187202826882,-40.7440275216467,56.93712734460709,10.648364148577238,128.0,71.875,0.78125,10.869565217391305,17.0,144.11764705882354,10.011354923405134,27.4,35.755254777070064,85.4,56.0,50.0,0.0
강원,횡성군,698.0,303,61,242,83,0.2739273927392739,6.548219102762372,224.85616928906668,34.75280707574206,54.36487318918094,12.204805091202719,155.78252928201803,55.34476241677895,411.0,91.72749391727494,2.18978102189781,11.405835543766578,29.0,124.13793103448276,10.735243837295545,23.0,24.02669121030833,88.5,68.0,68.0,0.0
경기,가평군,823.0,445,72,373,91,0.20449438202247192,6.71295620067707,268.2780291715107,65.87269608854574,59.773866004673735,20.453978992040266,190.32576176464582,95.97977517160633,699.0,77.53934191702432,5.293276108726753,9.040590405904059,14.0,142.85714285714286,11.008479448168277,25.0,22.026143790849673,89.9,102.0,102.0,0.0
경기,고양시 덕양구,4789.0,1708,168,1540,1250,0.7318501170960188,8.47407690034261,1771.4759908586723,-3.5832261451031022,164.77238991327613,1.9588294424949693,1619.3624246849024,-4.900843904683338,5166.0,95.81881533101046,1.780874951606659,11.878787878787879,18.0,125.0,13.086624276399546,77.5,12.019380266799342,91.3,102.0,99.0,0.0
경기,고양시 일산동구,4435.0,1858,117,1741,1438,0.7739504843918191,8.39728289474368,1631.5106296986685,13.882187843493421,157.64561230714438,-25.782901098416644,1475.0200501866848,18.032293851168447,3603.0,95.33721898417986,0.832639467110741,13.653566229985445,8.0,143.75,12.572720692340017,76.2,12.334776163652537,92.6,102.0,99.0,0.0
경기,고양시 일산서구,3098.0,1627,140,1487,1251,0.768899815611555,8.038512020976814,1110.6892331963736,46.48561914278871,128.2242713374511,9.183697079906494,953.6127432438868,55.93331890067865,2708.0,95.34711964549483,1.55096011816839,13.439194422927963,36.0,137.5,12.520678984919815,88.6,7.492664555336814,95.4,102.0,99.0,0.0
경기,과천시,1362.0,347,91,256,124,0.3573487031700288,7.216709486709457,460.328140143619,-24.618990294241293,79.88702462123786,13.910864037622162,351.1333578766012,-27.09322704396372,973.0,94.45015416238438,2.9804727646454263,17.73667029379761,10.0,155.0,11.304830611857536,83.0,17.70599788487687,79.4,81.0,78.0,0.0
경기,광명시,2472.0,1084,96,988,754,0.6955719557195572,7.812782818577581,872.0115192854389,24.310284443062514,112.59679512453991,-14.74002444401965,724.7534030919415,36.32222984880047,2467.0,97.24361572760438,1.2971220105391164,16.840350145894124,6.0,166.66666666666666,12.514920386503473,81.5,39.14270881251232,90.1,84.0,80.0,0.0
경기,광주시,4680.0,1434,100,1334,1123,0.7831241283124128,8.451053388911692,1728.2974916103487,-17.02817327682029,162.60254856923075,-38.50034893061757,1574.6642722126296,-15.28352909629821,2838.0,94.96124031007753,1.4799154334038054,13.543599257884972,16.0,153.125,12.90504035390505,43.4,3.81769393725411,92.6,87.0,87.0,0.0
경기,구리시,1635.0,909,59,850,710,0.7810781078107811,7.399398083331354,559.8913030034159,62.35294156631221,88.74788959244316,-33.51954590588504,438.4590611146417,93.86074445334698,1649.0,95.75500303214069,1.3947847180109159,13.996200126662444,12.0,158.33333333333334,12.112322248631774,80.3,15.577755161994292,87.6,74.0,69.0,0.0
경기,군포시,1905.0,925,106,819,702,0.7589189189189189,7.552237287560802,659.5472284501034,40.2477275469256,96.91163030144632,9.377996913563468,527.9903173400803,55.116480947221504,1736.0,94.81566820276498,1.497695852534562,14.094775212636696,15.0,116.66666666666667,12.461141129628757,81.6,32.657112110592976,88.2,80.0,78.0,0.0
경기,김포시,7877.0,3226,222,3004,2655,0.8230006199628023,8.971702399703325,3019.711009370279,6.831414992679696,219.44064517903072,1.1663084652714373,2965.3993445733036,1.3017017588992097,6363.0,96.38535282099639,1.2572685840012574,12.718082504483942,39.0,138.46153846153845,13.121434946545751,83.7,4.22082873245092,94.9,76.0,72.0,0.0
